concept polysemousVariant var.1BE-Du var.2BE-Du var.3BE-Du var.1NL-Du var.2NL-Du var.3NL-Du variants freq.BEDu freq.NLDu entropy.variant entropy.lect weight.cramersV weight.llr filter.llr weight.fisher filter.fisher weight.power filter.power distance_cityblock external_uniformity internal_uniformity iu.BEDu iu.NLDu tot.freq min.lect.freq
ecstasy yes 103 122 135 242 181 217 extase/trance/vervoering 360 640 1.09647324122645 0.653418194793702 0.0942902266 0.9889411413 1 0.9888600342 1 0.765295982115643 0 0.092 0.908 0.335 0.337 0.338 1000 360
electoral_district no 85 590 NA 293 32 NA kies_district/kies_kring 675 325 0.663076535354163 0.630581028386015 0.7469975971 1 1 1 1 1 1 0.776 0.224 0.53 0.78 0.822 1000 325
filmmaker no 183 14 192 96 117 398 cineast/filmer/filmmaker 389 611 0.933724045743764 0.668298672260717 0.3708549368 1 1 1 1 1 1 0.313 0.687 0.443 0.466 0.486 1000 389
individuality no 55 260 137 14 360 174 eigenheid/identiteit/persoonlijkheid 452 548 0.844100258092919 0.688532076450456 0.1897607457 0.9999999925 1 0.9999999913 1 0.999883756320502 1 0.096 0.904 0.486 0.438 0.533 1000 452
keyboard yes 182 248 NA 79 491 NA klavier/toetsenbord 430 570 0.574100289090193 0.683314913574166 0.3185892072 1 1 1 1 1 1 0.284 0.716 0.614 0.512 0.761 1000 430
lack_of_space no 653 22 NA 63 262 NA plaat_gebrek/ruimte_gebrek 675 325 0.596691595800532 0.630581028386015 0.8011080773 1 1 1 1 1 1 0.773 0.227 0.593 0.937 0.687 1000 325
living_room no 240 147 NA 566 47 NA huiskamer/living 387 613 0.491971299663509 0.667387217050714 0.3708325963 1 1 1 1 1 1 0.303 0.697 0.687 0.529 0.858 1000 387
nail yes 288 119 NA 308 285 NA nagel/spijker 407 593 0.674600230714884 0.67574803390135 0.186371166 0.9999999982 1 0.9999999978 1 0.999958160200083 1 0.189 0.811 0.518 0.586 0.501 1000 407
nuclear_reactor no 106 174 NA 259 461 NA kern_reactor/reactor 280 720 0.656240870627669 0.592953317447474 0.0152663558 0.42114038 0 0.3912424806 0 0.0770994423231938 0 0.019 0.981 0.536 0.529 0.539 1000 280
opening_hours no 94 611 NA 282 13 NA opening_tijd/opening_uur 705 295 0.662071931205014 0.606568097879241 0.772211609 1 1 1 1 1 1 0.823 0.177 0.531 0.769 0.916 1000 295
palm_tree no 195 245 NA 301 259 NA palm/palmboom 440 560 0.693115180218603 0.685929800252373 0.0916250031 0.9969596081 1 0.9966205207 1 0.825742946762871 1 0.095 0.905 0.5 0.506 0.503 1000 440
peace_talks no 74 50 89 287 269 231 vrede_overleg/vredesbespreking/vredesonderhandeling 213 787 1.09691165558159 0.517904416181533 0.119407064 0.9991737763 1 0.9991486418 1 0.93250455709954 1 0.124 0.876 0.334 0.35 0.336 1000 213
pitch yes 164 385 NA 170 281 NA grasmat/voetbalveld 549 451 0.63697526674802 0.688337464477697 0.0803887062 0.9908599429 1 0.9895765003 1 0.719770578251934 0 0.078 0.922 0.555 0.581 0.53 1000 451
pity no 27 82 258 106 175 352 compassie/mededogen/medelijden 367 633 0.919016327238485 0.657339703528846 0.1617363125 0.9999989463 1 0.9999987537 1 0.997500019559216 1 0.147 0.853 0.456 0.55 0.414 1000 367
reflection yes 159 191 NA 486 164 NA afspiegeling/weerspiegeling 350 650 0.650487009385091 0.647446639034633 0.2902693285 1 1 1 1 0.999999999999738 1 0.294 0.706 0.542 0.504 0.623 1000 350
religion yes 196 83 94 328 115 184 geloof/godsdienst/religie 373 627 1.0151780947144 0.660533047478153 0.0570461972 0.8028231253 0 0.8029784193 0 0.345766178665644 0 0.042 0.958 0.391 0.389 0.393 1000 373
repayment yes 181 249 NA 83 487 NA afbetaling/aflossing 430 570 0.577199348367057 0.683314913574166 0.3069252491 1 1 1 1 0.999999999999995 1 0.275 0.725 0.611 0.513 0.751 1000 430
retaliation no 145 59 144 215 152 285 represaille/vergelding_actie/wraak_actie 348 652 1.05915074327651 0.646199761644442 0.09693655 0.9911370402 1 0.9909730975 1 0.78939025678006 0 0.086 0.914 0.358 0.374 0.354 1000 348
safety_belt yes 334 266 98 124 156 22 gordel/riem/veiligheid_gordel 698 302 0.976157941000798 0.61254938600679 0.1389461113 0.9999500933 1 0.9999436628 1 0.982093081639562 1 0.135 0.865 0.402 0.394 0.441 1000 302
scriptwriter no 71 314 NA 388 227 NA scenario_schrijver/scenarist 385 615 0.6897814027084 0.666458900580332 0.433915098 1 1 1 1 1 1 0.447 0.553 0.503 0.699 0.534 1000 385
sex yes 408 79 NA 368 145 NA geslacht/sekse 487 513 0.53192420770443 0.692809142468311 0.1419834017 0.9999956966 1 0.9999950369 1 0.994295986307983 1 0.121 0.879 0.652 0.728 0.594 1000 487
stress yes 215 64 200 214 9 298 accent/klemtoon/nadruk 479 521 0.901307883199908 0.692264921068805 0.2430350184 1 1 1 1 0.999999955536474 1 0.154 0.846 0.437 0.394 0.496 1000 479
stronghold yes 102 173 NA 158 567 NA bastion/bolwerk 275 725 0.57305691713142 0.588168777354191 0.1531734064 0.9999985564 1 0.9999983378 1 0.998035486608744 1 0.153 0.847 0.615 0.533 0.659 1000 275
submarine no 156 8 140 93 208 395 duikboot/onderzeeboot/onderzeeër 304 696 1.01183666211328 0.61421549416189 0.4468644439 1 1 1 1 1 1 0.379 0.621 0.395 0.476 0.429 1000 304
suspicion no 31 92 225 61 151 440 achterdocht/argwaan/wantrouwen 348 652 0.834578417125729 0.646199761644442 0.0364072228 0.4816391339 0 0.4738150802 0 0.162189382406062 0 0.032 0.968 0.51 0.496 0.518 1000 348
tour_operator no 123 20 294 239 178 146 reis_bureau/reis_organisatie/touroperator 437 563 1.04972232238227 0.685188042082719 0.4475918571 1 1 1 1 1 1 0.414 0.586 0.364 0.534 0.347 1000 437
town_center no 252 475 214 9 48 2 dorp_centrum/dorp_kern/dorp_kom 941 59 1.02059421090518 0.224207075441857 0.1502423383 0.9999983823 1 0.9999965991 1 0.992849531637008 1 0.308 0.692 0.388 0.378 0.686 1000 59
voyage_of_discovery no 376 184 NA 136 304 NA ontdekking_tocht/ontdekkingsreis 560 440 0.692859152905573 0.685929800252373 0.3578078772 1 1 1 1 1 1 0.362 0.638 0.5 0.559 0.573 1000 440
wedding yes 228 114 138 452 61 7 bruiloft/huwelijk_feest/trouw_feest 480 520 0.847268238138835 0.692346967089961 0.4548873091 1 1 1 1 1 1 0.395 0.605 0.514 0.365 0.77 1000 480
